node,type
3066,protein
DB01223,drug
DB00227,drug
DB00608,drug
54106,protein
DB01611,drug
10188,protein
5914,protein
DB00982,drug
DB04942,drug
DB00799,drug
468,protein
10499,protein
DB00157,drug
4535,protein
4502,protein
5587,protein
DB00727,drug
4881,protein
DB00325,drug
DB04899,drug
DB00883,drug
4536,protein
26251,protein
3745,protein
DB08883,drug
2890,protein
DB00228,drug
DB00606,drug
9033,protein
51086,protein
9874,protein
91754,protein
5426,protein
2030,protein
81502,protein
1459,protein
4067,protein
2261,protein
DB00627,drug
23475,protein
DB01176,drug
6783,protein
DB00133,drug
875,protein
DB00114,drug
DB00151,drug
DB00118,drug
8428,protein
DB00143,drug
2947,protein
DB00720,drug
293,protein
8985,protein
10016,protein
95,protein
DB00811,drug
22978,protein
5682,protein
DB00173,drug
6733,protein
5152,protein
10606,protein
2571,protein
1312,protein
DB00323,drug
DB11632,drug
DB00494,drug
DB00515,drug
331,protein
6548,protein
DB00768,drug
6271,protein
5515,protein
7031,protein
4707,protein
DB00145,drug
27232,protein
DB00628,drug
2563,protein
DB00842,drug
DB00801,drug
DB00690,drug
DB00404,drug
DB00292,drug
DB09118,drug
DB01558,drug
DB01588,drug
DB01107,drug
DB00349,drug
DB00463,drug
DB00546,drug
DB00189,drug
DB00475,drug
DB01215,drug
DB01956,drug
DB01589,drug
DB00186,drug
DB00371,drug
DB00897,drug
DB00683,drug
DB00829,drug
DB01595,drug
DB01437,drug
DB00659,drug
DB00818,drug
DB00402,drug
DB01068,drug
DB11582,drug
DB00231,drug
113675,protein
3728,protein
DB01698,drug
8644,protein
DB00905,drug
117144,protein
DB00770,drug
6280,protein
54107,protein
DB00819,drug
358,protein
5601,protein
7376,protein
6505,protein
3507,protein
5052,protein
3091,protein
1198,protein
8767,protein
1019,protein
10733,protein
4698,protein
6616,protein
DB00130,drug
2752,protein
4140,protein
DB00148,drug
1152,protein
4715,protein
4879,protein
3853,protein
4967,protein
2203,protein
6258,protein
2495,protein
2954,protein
5585,protein
DB00993,drug
3251,protein
DB01033,drug
4723,protein
23549,protein
6257,protein
55191,protein
2653,protein
64129,protein
23564,protein
2882,protein
6820,protein
DB00607,drug
9356,protein
DB01140,drug
DB01032,drug
DB01212,drug
DB01060,drug
DB00493,drug
1196,protein
6652,protein
51327,protein
1468,protein
443,protein
cyclosporin-a,drug
5530,protein
DB09220,drug
10060,protein
4792,protein
9817,protein
5478,protein
DB01110,drug
56302,protein
5159,protein
DB00102,drug
4835,protein
DB00170,drug
2580,protein
58190,protein
4145,protein
4706,protein
189,protein
3779,protein
1263,protein
85007,protein
7276,protein
5973,protein
DB01394,drug
7278,protein
DB00361,drug
DB04845,drug
216,protein
6273,protein
635,protein
6285,protein
3612,protein
6275,protein
2941,protein
DB00063,drug
3674,protein
DB00775,drug
DB00054,drug
DB00448,drug
4137,protein
DB00637,drug
2745,protein
653361,protein
5328,protein
5054,protein
2258,protein
DB00020,drug
6383,protein
5566,protein
bucladesine,drug
DB02701,drug
142,protein
DB09074,drug
3725,protein
DB00570,drug
DB01029,drug
5423,protein
2064,protein
2065,protein
5296,protein
3326,protein
5979,protein
2044,protein
3065,protein
DB08868,drug
DB06819,drug
9759,protein
10014,protein
10013,protein
1,protein
23235,protein
778,protein
11011,protein
9641,protein
9475,protein
DB13165,drug
5707,protein
373156,protein
5298,protein
8780,protein
DB04865,drug
6122,protein
5198,protein
673,protein
DB08881,drug
8899,protein
DB00642,drug
471,protein
DB00997,drug
9221,protein
23332,protein
epalrestat,drug
231,protein
DB00605,drug
11331,protein
10298,protein
5837,protein
sodium-monofluorophosphate,drug
7123,protein
815,protein
816,protein
DB00688,drug
3615,protein
DB01024,drug
DB00352,drug
817,protein
5062,protein
4947,protein
2011,protein
1327,protein
DB01104,drug
10857,protein
DB00445,drug
1105,protein
ethanolamine-oleate,drug
2167,protein
5516,protein
DB01197,drug
4048,protein
4350,protein
DB04743,drug
4057,protein
6279,protein
8408,protein
54205,protein
7284,protein
8570,protein
811,protein
23012,protein
10558,protein
4522,protein
DB00174,drug
6510,protein
3933,protein
4069,protein
DB02772,drug
10039,protein
3992,protein
2934,protein
5476,protein
DB08873,drug
DB00119,drug
6566,protein
3716,protein
5352,protein
DB00115,drug
4548,protein
DB00200,drug
9377,protein
117159,protein
388697,protein
DB00181,drug
115207,protein
3493,protein
3351,protein
DB00216,drug
DB00669,drug
DB00998,drug
DB00315,drug
DB00953,drug
DB09286,drug
DB00952,drug
DB00918,drug
DB00904,drug
fluphenazine-decanoate,drug
DB00320,drug
10797,protein
5424,protein
9891,protein
8604,protein
23042,protein
6790,protein
1717,protein
2806,protein
3354,protein
DB04842,drug
DB01253,drug
DB00784,drug
5743,protein
DB13167,drug
DB01397,drug
DB00991,drug
DB09217,drug
DB00154,drug
DB00461,drug
DB08910,drug
DB13217,drug
DB00814,drug
DB01628,drug
DB00936,drug
DB00500,drug
DB00712,drug
DB01009,drug
DB12233,drug
DB00788,drug
DB06736,drug
flurbiprofen-(S)-(+),drug
DB06725,drug
DB01401,drug
DB01399,drug
DB00469,drug
DB01283,drug
DB11071,drug
deracoxib,drug
DB00580,drug
bendazac,drug
ufenamate,drug
DB00963,drug
DB00821,drug
DB08984,drug
DB09212,drug
DB00480,drug
DB01435,drug
DB01404,drug
DB00533,drug
amtolmetin-guacil,drug
DB00554,drug
DB13783,drug
DB04552,drug
DB00812,drug
DB01600,drug
ibuprofen-lysine,drug
DB00861,drug
DB12545,drug
353,protein
6037,protein
5691,protein
347,protein
54861,protein
5683,protein
4704,protein
2597,protein
2618,protein
301,protein
79751,protein
1345,protein
302,protein
873,protein
1036,protein
5610,protein
27148,protein
6472,protein
5688,protein
5160,protein
26330,protein
65061,protein
4942,protein
DB01078,drug
483,protein
5687,protein
5723,protein
5802,protein
DB01077,drug
DB09131,drug
1476,protein
DB09568,drug
1892,protein
1329,protein
1503,protein
1340,protein
5295,protein
3702,protein
4791,protein
DB01296,drug
4214,protein
1431,protein
29110,protein
7124,protein
DB06674,drug
DB00065,drug
DB00005,drug
DB08904,drug
DB00051,drug
DB04951,drug
DB01427,drug
7133,protein
3784,protein
DB00808,drug
DB04953,drug
38,protein
1832,protein
DB00040,drug
2642,protein
DB00541,drug
203068,protein
58,protein
DB00925,drug
801,protein
DB04841,drug
DB00527,drug
DB01100,drug
DB01429,drug
DB01069,drug
7067,protein
613,protein
3055,protein
DB04216,drug
7277,protein
9448,protein
5430,protein
7283,protein
5127,protein
836,protein
7535,protein
983,protein
1111,protein
11200,protein
DB00752,drug
23028,protein
91,protein
2042,protein
DB01015,drug
2950,protein
DB00615,drug
3320,protein
DB00716,drug
5591,protein
1385,protein
4193,protein
595,protein
83933,protein
55869,protein
5595,protein
2534,protein
3932,protein
5156,protein
5347,protein
334,protein
DB00121,drug
31,protein
1859,protein
51564,protein
10746,protein
4139,protein
5287,protein
8711,protein
7465,protein
9734,protein
658,protein
27,protein
3815,protein
2023,protein
2931,protein
1003,protein
1571,protein
DB00503,drug
DB00951,drug
7184,protein
4508,protein
1147,protein
3848,protein
8569,protein
7161,protein
5294,protein
5467,protein
DB00374,drug
5686,protein
3783,protein
DB00356,drug
DB00740,drug
DB00158,drug
6573,protein
DB00641,drug
3689,protein
5329,protein
5604,protein
DB05239,drug
79661,protein
777,protein
23420,protein
1950,protein
DB00677,drug
7018,protein
6647,protein
DB00988,drug
5579,protein
5580,protein
5581,protein
695,protein
55561,protein
784,protein
DB00780,drug
2572,protein
834,protein
4842,protein
DB09241,drug
DB08907,drug
6523,protein
DB09038,drug
DB06292,drug
6789,protein
DB01243,drug
4986,protein
DB00652,drug
DB00454,drug
DB01209,drug
budipine,drug
2902,protein
DB00949,drug
DB01043,drug
DB04896,drug
DB09481,drug
cycloserine-(d),drug
DB01173,drug
DB00289,drug
5578,protein
DB01396,drug
476,protein
DB00511,drug
DB01430,drug
DB01378,drug
DB01119,drug
DB13996,drug
DB06697,drug
DB01158,drug
DB00390,drug
DB00774,drug
DB01092,drug
DB01021,drug
DB01188,drug
DB00204,drug
3768,protein
9706,protein
4035,protein
DB00384,drug
6340,protein
4803,protein
821,protein
3827,protein
DB05541,drug
6324,protein
DB00252,drug
DB00999,drug
759,protein
DB00391,drug
DB00869,drug
DB00703,drug
DB00562,drug
DB01194,drug
DB00311,drug
DB03255,drug
DB00880,drug
DB00232,drug
DB01144,drug
